epoch,train_loss,val_acc
1,1.1720425188541412,0.8623661208912963
2,0.279992789664167,0.8676597316262464
3,0.14048616889309376,0.8776314169641758
4,0.09229834171685766,0.8697525544749477
5,0.061764822361317084,0.9004062538471008
6,0.04430797117504668,0.8866182444909516
7,0.04259257339575189,0.903114612827773
8,0.03767072171606916,0.90508432845008
9,0.023858614384810975,0.9006524682998892
10,0.021620207198677546,0.9023759694694079
11,0.02105275866516093,0.8946202142065739
12,0.026243340947288783,0.901144897205466
13,0.020931849969511338,0.8978210020928229
14,0.019918823069793746,0.8949895358857565
15,0.02043601763533785,0.9033608272805613
16,0.02986058487774844,0.8834174566047027
17,0.015045591823241495,0.8879724239812877
18,0.009250337139089057,0.890803890188354
19,0.009196252418444194,0.8903114612827773
20,0.0075299849837741,0.8906807829619598
21,0.004722803345623802,0.8984365382247937
22,0.005418805472374438,0.8980672165456113
