epoch,train_loss,val_acc
1,1.2908512696306755,0.8503016127046658
2,0.3569221430002375,0.8474701464975994
3,0.1628300999390318,0.8410685707251015
4,0.10527489064855779,0.8509171488366367
5,0.07632046811124112,0.8421765357626493
6,0.06388849424237901,0.8473470392712052
7,0.051465840930951405,0.8477163609503878
8,0.040438724562842795,0.8378677828388527
9,0.034896104675816726,0.8431613935738028
10,0.02835643927546892,0.868029053305429
11,0.02468611599203754,0.8683983749846116
12,0.02207246146343173,0.842668964668226
13,0.02120182078648755,0.8411916779514957
14,0.02658471284790876,0.8272805613689523
15,0.028755848325709713,0.8254339529730396
16,0.032490864599202855,0.8602732980425951
17,0.026529428489664768,0.8422996429890435
18,0.0232758454314651,0.8535024005909146
19,0.025235427791213103,0.8493167548935122
20,0.017374096022165837,0.8632278714760556
21,0.010264418508976381,0.8530099716853379
22,0.007632613793867541,0.856949402929952
23,0.006893135285242758,0.8496860765726948
24,0.0061851774287865835,0.8568262957035578
25,0.007011872209717539,0.8515326849686077
