epoch,train_loss,val_loss
1,0.5456830450194947,0.48938162128130597
2,0.2153224948238819,0.44939466033663067
3,0.16418903305175456,0.43547081308705465
4,0.14213711974468637,0.4580901822163945
5,0.13475548222343972,0.44511433371475767
6,0.12207768175830232,0.4376470396916072
7,0.11148598568236574,0.43357894108408973
8,0.10317563915506323,0.45967147038096473
9,0.09805727240807832,0.4699725356130373
10,0.09443712305832416,0.47276581752867924
11,0.09525071718591324,0.47858026659204844
12,0.08494784587875326,0.5006017362078031
13,0.08853481670326376,0.5055708512663841
14,0.08215234777394761,0.49633954146078657
15,0.07945913639157376,0.5104320900780814
16,0.08083779127039808,0.5228312341939836
