epoch,train_loss,val_loss
1,0.5695283815581748,0.5064043984526679
2,0.24460208194052918,0.44428352337507976
3,0.20010210129808872,0.42849142317261013
4,0.1711575005282747,0.4313421320347559
5,0.15620952258084683,0.44714364338488805
6,0.146235428433469,0.443064003828026
7,0.14051688399086606,0.44695936391750973
8,0.1334573861132277,0.4505485047896703
9,0.1251120868515461,0.45521248273906256
10,0.11813978280158753,0.4487047188338779
11,0.11202634316175542,0.4684809400212197
12,0.11186729609332186,0.4563881024008706
