epoch,train_loss,val_acc
1,1.2961344497000917,0.8099224424473717
2,0.32593726065564665,0.8682752677582174
3,0.15434928396914868,0.8718453773236489
4,0.10104002145693657,0.8770158808322048
5,0.07178216918985894,0.8810784193032131
6,0.05215353601949012,0.8781238458697526
7,0.042808583600723996,0.8820632771143666
8,0.03716036277089981,0.8695063400221593
9,0.03813861867294033,0.8379908900652469
10,0.04098402577987377,0.882925027699126
11,0.026627698893401216,0.8565800812507695
12,0.027196295737744645,0.8695063400221593
13,0.024951530828517168,0.8618736919857196
14,0.023221266624379032,0.8812015265296073
15,0.01826794595120752,0.8580573679674997
16,0.02637927054843687,0.8767696663794164
17,0.026095948102784917,0.8686445894374
18,0.026363663632977517,0.8496860765726948
19,0.016314090784401335,0.8773852025113874
20,0.009397672870731417,0.8828019204727318
21,0.007933104457829068,0.8831712421519143
22,0.00720820268814234,0.8846485288686445
23,0.00783811944308988,0.8818170626615782
24,0.006441697025017694,0.8791087036809061
25,0.007664461649875057,0.8799704542656654
26,0.007802009587473375,0.8638434076080266
27,0.005217287736508916,0.8796011325864829
28,0.005317491279825806,0.8836636710574911
29,0.005719008147122061,0.8830481349255201
30,0.004306601890501507,0.8863720300381632
31,0.004964138206560165,0.8869875661701342
32,0.0053685749880969524,0.8851409577742213
33,0.006086492811904308,0.8693832327957651
34,0.004349930739485996,0.8805859903976363
35,0.003750803077870861,0.8702449833805245
36,0.004371478039018334,0.8750461652098979
37,0.004409935050445827,0.878370060322541
38,0.0040030593555321565,0.8796011325864829
39,0.004627786576747894,0.8682752677582174
40,0.0038627304057491586,0.8820632771143666
41,0.0036062287052776266,0.8759079157946571
42,0.0031291745123800205,0.8665517665886987
43,0.003137240821664083,0.8738150929459559
44,0.0031260066898539662,0.8739382001723501
45,0.002784995074839668,0.8773852025113874
