epoch,train_loss,val_acc
1,1.163303684046928,0.8568262957035578
2,0.2902273225023391,0.882925027699126
3,0.15248143308340234,0.8616274775329312
4,0.09356799769274732,0.8517788994213961
5,0.06384123037470148,0.8692601255693709
6,0.054705307878395344,0.8687676966637942
7,0.04561562966951664,0.8747999507571095
8,0.03908139142267247,0.8648282654191801
9,0.03216364952002434,0.8729533423611966
10,0.027720411000971463,0.8320817431983257
11,0.01654456165480487,0.8488243259879354
12,0.011906574653620099,0.8626123353440847
13,0.01023378096857762,0.8629816570232672
14,0.009537647735882313,0.8570725101563462
15,0.010032435245019324,0.85953465468423
16,0.010381817005257657,0.8618736919857196
